Data_coleta;Canal;Site;Categoria;Marca;Descrição;Tamanho;Preço regular;Preço promo;Disponibilidade;Vendido por;Loja oficial?;Nota;Nº avaliações;Qtd vendida;Link;Formato;Fonte
2026-07-02;Farmácia;Araujo;Removedor de esmalte c/ acetona;Mio;Removedor de Esmalte Mio com Acetona 100ml;100ml;2,99;;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-mio-com-acetona-100ml/92675.html;Unidade;Claude Code
2026-07-02;Farmácia;Araujo;Removedor de esmalte c/ acetona;Ideal;Removedor de Esmalte Ideal a Base de Acetona 100ml;100ml;7,19;;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-ideal-a-base-de-acetona-100ml/43030.html;Unidade;Claude Code
2026-07-02;Farmácia;Araujo;Removedor de esmalte c/ acetona;Ideal;Removedor de Esmalte Ideal a Base de Acetona 500ml;500ml;26,59;23,99;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-ideal-a-base-de-acetona-500ml/68290.html;Unidade;Claude Code
2026-07-02;Farmácia;Araujo;Removedor de esmalte c/ acetona;Avante;Acetona Avante Removedor de Esmalte com Hidratante 500ml;500ml;15,99;15,29;Em estoque;;;;;;https://www.araujo.com.br/acetona-avante-removedor-de-esmalte-com-hidratante-500ml/102141.html;Unidade;Claude Code
2026-07-02;Farmácia;Araujo;Removedor de esmalte s/ acetona;Farmax;Removedor de Esmalte Farmax Sem Acetona Cheirinho de Uva 100ml;100ml;5,89;;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-farmax-sem-acetona-cheirinho-de-uva-100ml/5887.html;Unidade;Claude Code
2026-07-02;Farmácia;Araujo;Removedor de esmalte s/ acetona;Ideal;Removedor de Esmalte Ideal sem Acetona com 100ml;100ml;7,89;7,19;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-ideal-sem-acetona-com-100ml/32721.html;Unidade;Claude Code
2026-07-02;Farmácia;Araujo;Removedor de esmalte s/ acetona;Risque;Removedor de Esmaltes Risque Care 100ml;100ml;13,99;;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-risque-instantaneo-oleo-orquideas-100ml/46088.html;Unidade;Claude Code
2026-07-02;Farmácia;Araujo;Agua oxigenada cremosa 40V;Avante;Agua Oxigenada Cremosa Avante 40 volumes 90ml;90ml;3,79;2,49;Em estoque;;;;;;https://www.araujo.com.br/agua-oxigenada-cremosa-avante-40-volumes-90ml/99025.html;Unidade;Claude Code
2026-07-02;Farmácia;Araujo;Agua oxigenada cremosa 40V;Marcia;Agua Oxigenada Marcia Cremosa 40 Volumes 70ml;70ml;2,89;;Em estoque;;;;;;https://www.araujo.com.br/agua-oxigenada-marcia-cremosa-estabilizada-40-volumes-70ml/103700.html;Unidade;Claude Code
2026-07-02;Farmácia;Araujo;Agua oxigenada cremosa 40V;Bio Extratus;Agua Oxigenada Bio Extratus Color 40 Volumes Cremosa 90ml;90ml;15,99;;Em estoque;;;;;;https://www.araujo.com.br/agua-oxigenada-bio-extratus-color-40-volumes-cremosa-90ml/89046.html;Unidade;Claude Code
2026-07-02;Farmácia;Araujo;Oleo capilar/corporal 100ml;Avante;Oleo de Coco Avante Capilar e Corporal 100ml;100ml;8,99;;Em estoque;;;;;;https://www.araujo.com.br/oleo-de-coco-avante-capilar-e-corporal-100ml/99073.html;Unidade;Claude Code
2026-07-02;Farmácia;Araujo;Oleo capilar/corporal 100ml;Avante;Oleo Avante Rosa Mosqueta Capilar e Corporal 100ml;100ml;10,99;;Em estoque;;;;;;https://www.araujo.com.br/oleo-avante-rosa-mosqueta-capilar-e-corporal-100ml/102119.html;Unidade;Claude Code
2026-07-02;Farmácia;Araujo;Oleo capilar/corporal 100ml;Avante;Oleo Amendoas Doces Avante Capilar e Corporal 100ml;100ml;8,99;;Em estoque;;;;;;https://www.araujo.com.br/oleo-amendoas-doces-avante-capilar-e-corporal-100ml/92125.html;Unidade;Claude Code
