Data_coleta;Canal;Site;Categoria;Marca;Descrição;Tamanho;Preço regular;Preço promo;Disponibilidade;Vendido por;Loja oficial?;Nota;Nº avaliações;Qtd vendida;Link;Formato;Fonte
2026-07-15;Farmácia;Araujo;Removedor de esmalte c/ acetona;Aplicativos;Aplicativos Mobile;;19,29;3,99;Em estoque;;;;;;https://www.araujo.com.br/aplicativos-mobile.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte c/ acetona;Mio;Removedor De Esmalte Mio Com Acetona 100ml;100ml;3,99;;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-mio-com-acetona-100ml/92675.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte c/ acetona;Ideal;Removedor De Esmalte Ideal A Base De Acetona 500ml;500ml;19,29;;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-ideal-a-base-de-acetona-500ml/68290.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte c/ acetona;Farmax;Removedor De Esmalte Farmax Sem Acetona Cheirinho De Uva 100ml;100ml;6,99;4,99;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-farmax-sem-acetona-cheirinho-de-uva-100ml/5887.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte c/ acetona;Farmax;Removedor De Esmalte Farmax A Base De Acetona 100ml;100ml;3,07;;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-farmax-a-base-de-acetona-100ml/46843.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte c/ acetona;Ideal;Removedor De Esmalte Ideal Sem Acetona Com 100ml;100ml;7,89;7,19;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-ideal-sem-acetona-com-100ml/32721.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte c/ acetona;Ideal;Removedor De Esmalte Ideal A Base De Acetona 100ml;100ml;7,19;;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-ideal-a-base-de-acetona-100ml/43030.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte c/ acetona;Granado;Removedor De Esmaltes Granado Pink Sem Acetona 75ml;75ml;40,99;;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmaltes-granado-pink-sem-acetona-75ml/107055.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte c/ acetona;Avante;Acetona Avante Removedor De Esmalte Com Hidratante 500ml;500ml;15,99;15,29;Em estoque;;;;;;https://www.araujo.com.br/acetona-avante-removedor-de-esmalte-com-hidratante-500ml/102141.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte c/ acetona;Avante;Acetona Avante Removedor De Esmalte Com Hidratante 100ml;100ml;3,99;;Em estoque;;;;;;https://www.araujo.com.br/acetona-avante-removedor-de-esmalte-com-hidratante-100ml/102140.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte c/ acetona;Farmax;Removedor De Esmalte Farmax Com 100ml;100ml;6,99;4,99;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-farmax-com-100ml/33312.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte c/ acetona;Ideal;Removedor De Esmalte Em Gel Ideal Remove Mais Com Butila 200ml;200ml;16,99;14,99;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-em-gel-ideal-remove-mais-com-butila-200ml/106367.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte s/ acetona;Aplicativos;Aplicativos Mobile;;40,99;4,99;Em estoque;;;;;;https://www.araujo.com.br/aplicativos-mobile.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte s/ acetona;Farmax;Removedor De Esmalte Farmax Sem Acetona Cheirinho De Uva 100ml;100ml;6,99;4,99;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-farmax-sem-acetona-cheirinho-de-uva-100ml/5887.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte s/ acetona;Ideal;Removedor De Esmalte Ideal Sem Acetona Com 100ml;100ml;7,89;7,19;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-ideal-sem-acetona-com-100ml/32721.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte s/ acetona;Granado;Removedor De Esmaltes Granado Pink Sem Acetona 75ml;75ml;40,99;;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmaltes-granado-pink-sem-acetona-75ml/107055.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte s/ acetona;Risque;Removedor De Esmalte Risque Instantaneo Oleo Orquideas 100ml;100ml;13,99;;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-risque-instantaneo-oleo-orquideas-100ml/46088.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte s/ acetona;Farmax;Removedor De Esmalte Farmax Com Oleos Naturais 7 Em 1 Sem Acetona 100ml;100ml;8,99;;Em estoque;;;;;;https://www.araujo.com.br/removedor-de-esmalte-farmax-com-oleos-naturais-7-em-1-sem-acetona-100ml/110639.html;Unidade;Local
2026-07-15;Farmácia;Araujo;Removedor de esmalte s/ acetona;Ideal;Removovedor De Esmalte Ideal 7 Em1 Sem Acetona 100ml;100ml;9,99;;Em estoque;;;;;;https://www.araujo.com.br/removovedor-de-esmalte-ideal-7-em1-sem-acetona-100ml/106357.html;Unidade;Local
