Data_coleta;Canal;Site;Categoria;Marca;Descrição;Tamanho;Preço regular;Preço promo;Disponibilidade;Vendido por;Loja oficial?;Nota;Nº avaliações;Qtd vendida;Link;Formato;Fonte
2026-07-02;Farmacia;Drogasil;Oleo capilar de coco;Farmax;Oleo Capilar Farmax Coco 100ml;100ml;8,64;;Em estoque;;;;;;https://www.drogasil.com.br/farmax-oleo-de-coco-100ml.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Oleo de ricino;Farmax;Oleo Capilar de Ricino Puro Farmax Antiqueda 100ml;100ml;13,9;;Em estoque;;;;;;https://www.drogasil.com.br/farmax-oleo-de-ricino-puro-100ml-1307075.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Oleo corporal de girassol;Farmax;Oleo Corporal Farmax Girassol 100ml;100ml;11,7;10,49;Em estoque;;;;;;https://www.drogasil.com.br/farmax-oleo-de-girassol-100ml.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Oleo de babosa;Farmax;Oleo Capilar de Babosa Farmax 100ml;100ml;30,97;23,29;Em estoque;;;;;;https://www.drogasil.com.br/farmax-oleo-de-babosa-100ml.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Oleo de amendoas;Farmax;Oleo Corporal Farmax Amendoas 100ml;100ml;11,7;11,09;Em estoque;;;;;;https://www.drogasil.com.br/farmax-oleo-de-amendoas-100ml.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Oleo de banana;Farmax;Oleo de Banana Farmax com 28ml;28ml;4,21;;Em estoque;;;;;;https://www.drogasil.com.br/farmax-oleo-de-banana-28ml.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Agua oxigenada;Farmax;Agua Oxigenada Cremosa Farmax 10 Volumes 70ml;70ml;2,02;;Em estoque;;;;;;https://www.drogasil.com.br/farmax-agua-oxigenada-10-volumes-70ml.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Agua oxigenada;Farmax;Agua Oxigenada 40 Volumes Farmax 70ml;70ml;2,02;;Em estoque;;;;;;https://www.drogasil.com.br/farmax-agua-oxigenada-cremosa-40-volumes-70ml.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Agua oxigenada;Farmax;Agua Oxigenada 30 Volumes Farmax 70ml;70ml;2,02;;Em estoque;;;;;;https://www.drogasil.com.br/farmax-agua-oxigenada-cremosa-30-volumes-70ml.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Agua oxigenada;Farmax;Agua Oxigenada Cremosa Farmax 20 Volumes 70ml;70ml;2,02;;Em estoque;;;;;;https://www.drogasil.com.br/farmax-agua-oxigenada-cremosa-20-volumes-70ml.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Oleo finalizador capilar;Farmax;Oleo Espetacular Finalizador Capilar Farmax 90ml;90ml;29,9;;Em estoque;;;;;;https://www.drogasil.com.br/farmax-oleo-espetacular-capilar-90ml-1307074.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Oleo de rosa mosqueta;Farmax;Oleo de Rosa Mosqueta Puro Farmax 30ml;30ml;34,25;22,74;Em estoque;;;;;;https://www.drogasil.com.br/oleo-de-rosa-mosqueta-puro-farmax-30ml-885447.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Oleo de ricino;Farmax;Oleo de Ricino Farmax Puro 100ml;100ml;17,11;13,5;Em estoque;;;;;;https://www.drogasil.com.br/oleo-de-ricino-farmax-puro-100ml-890931.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Oleo de ricino;Farmax;Oleo de Ricino 100 Puro Uso Capilar 30ml Farmax;30ml;11,62;9,3;Em estoque;;;;;;https://www.drogasil.com.br/oleo-de-ricino-100-puro-uso-capilar-30ml-farmax-672132.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Glicerina;Farmax;Glicerina Pura Farmax 100ml;100ml;18,37;14,7;Em estoque;;;;;;https://www.drogasil.com.br/glicerina-pura-farmax-100ml-671789.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Oleo de ricino;Farmax;Oleo de Ricino Capilar Puro 100ml Farmax;100ml;29,91;;Em estoque;;;;;;https://www.drogasil.com.br/oleo-de-ricino-capilar-puro-100ml-farmax-1416954.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Removedor de esmalte;Farmax;Removedor Farmax Uva 100ml;100ml;14,05;14,04;Em estoque;;;;;;https://www.drogasil.com.br/removedor-farmax-uva-100ml-869753.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Agua oxigenada;Farmax;Agua Oxigenada 10 Volumes 100ml Farmax;100ml;7,11;5,33;Em estoque;;;;;;https://www.drogasil.com.br/agua-oxigenada-10-volumes-100ml-farmax-1274528.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Oleo de semente de uva;Farmax;Oleo Natural de Semente de Uva 100% Puro Farmax 30ml;30ml;24,35;19,48;Em estoque;;;;;;https://www.drogasil.com.br/oleo-natural-de-semente-de-uva-100-puro-farmax-30ml-1016059.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Vaselina solida;Farmax;Vaselina Solida Vasemax Farmax 70g;70g;32,07;17,18;Em estoque;;;;;;https://www.drogasil.com.br/vaselina-solida-vasemax-farmax-70g-897632.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Glicerina;Farmax;Glicerina Bidestilada Farmax com Aloe Vera 100ml;100ml;17,06;10,29;Em estoque;;;;;;https://www.drogasil.com.br/glicerina-bidestilada-farmax-com-aloe-vera-100ml-896282.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Oleo de banana;Farmax;Oleo de Banana sem Acetona Farmax 100ml;100ml;13,91;10,19;Em estoque;;;;;;https://www.drogasil.com.br/oleo-de-banana-sem-acetona-farmax-100ml-896264.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Oleo de rosa mosqueta;Farmax;Oleo de Rosa Mosqueta Farmax Capilar/Corporal 100ml;100ml;16,78;13,42;Em estoque;;;;;;https://www.drogasil.com.br/oleo-de-rosa-mosqueta-farmax-capilar-corporal-100ml-671881.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Vaselina liquida;Farmax;Vaselina Liquida 100ml Farmax;100ml;14,28;11,42;Em estoque;;;;;;https://www.drogasil.com.br/vaselina-liquida-100ml-farmax-671837.html;Unidade;Claude Code
2026-07-02;Farmacia;Drogasil;Pedra hume po;Farmax;Pedra Hume 20g em Po Farmax;20g;11,74;9,39;Em estoque;;;;;;https://www.drogasil.com.br/pedra-hume-20g-em-po-farmax-667458.html;Unidade;Claude Code
