Data_coleta;Canal;Site;Categoria;Marca;Descrição;Tamanho;Preço regular;Preço promo;Link
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte c/ acetona;Acetona;Acetona Alyne 100ml;100ml;5,49;;https://www.paguemenos.com.br/acetona-alyne-100ml/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte c/ acetona;Dauf;Removedor De Esmalte Dauf Sem Acetona 10...;;7,99;;https://www.paguemenos.com.br/removedor-esmalte-dauf-sem-acetona-100ml/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte c/ acetona;Dauf;Removedor De Esmalte Dauf Com Acetona 10...;;5,19;;https://www.paguemenos.com.br/removedor-de-esmalte-dauf-com-acetona-100ml/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte c/ acetona;Colorama;Esmalte Cremoso Colorama Barbie Boss 8ml...;8ml;7,39;;https://www.paguemenos.com.br/esmalte-cremoso-colorama-barbie-boss-8ml/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte c/ acetona;Risqué;Removedor de Esmalte Risqué Care Sem Ace...;;11,49;;https://www.paguemenos.com.br/removedor-care-esmalte-risque-100ml/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte c/ acetona;Dailus;Removedor de Esmalte Dailus Sem Acetona ...;;8,99;;https://www.paguemenos.com.br/removedor-de-esmalte-dailus-90ml/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte c/ acetona;Removedor;Removedor de Esmalte Ricca Lenços Umedec...;;12,99;;https://www.paguemenos.com.br/remov-esm-ricca-lenco-32und/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte c/ acetona;Granado;Removedor de Esmalte Granado Pink Sem Ac...;;34,99;;https://www.paguemenos.com.br/removedor-de-esmaltes-granado-pink-sem-acetona-75ml/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte c/ acetona;Super;Super Oferta;;85,25;75,97;https://www.paguemenos.com.br/removedor-de-esmalte-farmax-500ml-sem-acetona-1736e9102t528r79/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte c/ acetona;Farmax;Remov Esm Farmax removedor com acetona f...;;85,25;5,19;https://www.paguemenos.com.br/remov-esm-farmax-removedor-com-acetona-farmax-80ml-12cx/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte s/ acetona;Acetona;Acetona Alyne 100ml;100ml;5,49;;https://www.paguemenos.com.br/acetona-alyne-100ml/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte s/ acetona;Dauf;Removedor De Esmalte Dauf Sem Acetona 10...;;7,99;;https://www.paguemenos.com.br/removedor-esmalte-dauf-sem-acetona-100ml/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte s/ acetona;Dauf;Removedor De Esmalte Dauf Com Acetona 10...;;5,19;;https://www.paguemenos.com.br/removedor-de-esmalte-dauf-com-acetona-100ml/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte s/ acetona;Colorama;Esmalte Cremoso Colorama Barbie Boss 8ml...;8ml;7,39;;https://www.paguemenos.com.br/esmalte-cremoso-colorama-barbie-boss-8ml/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte s/ acetona;Risqué;Removedor de Esmalte Risqué Care Sem Ace...;;11,49;;https://www.paguemenos.com.br/removedor-care-esmalte-risque-100ml/p
2026-07-02;Farmácia;Pague Menos;Removedor de esmalte s/ acetona;Dailus;Removedor de Esmalte Dailus Sem Acetona ...;;8,99;;https://www.paguemenos.com.br/removedor-de-esmalte-dailus-90ml/p
