Data_coleta;Canal;Site;Categoria;Marca;Descrição;Tamanho;Preço regular;Preço promo;Disponibilidade;Vendido por;Loja oficial?;Nota;Nº avaliações;Qtd vendida;Link;Formato;Fonte
2026-07-02;Supermercado;Super So;Agua oxigenada cremosa 40V;Farmax;Agua Oxigenada Farmax 40 Vol 90ml;90ml;3,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/agua%20oxigenada;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Agua oxigenada cremosa 40V;Farmax;Agua Oxigenada Farmax 900ml 40vol;900ml;22,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/agua%20oxigenada;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Agua oxigenada cremosa 40V;Ideal;Agua Oxigenada Ideal 70ml 40vol;70ml;3,79;;Em estoque;;;;;;https://www.superso.com.br/p/busca/agua%20oxigenada;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Removedor de esmalte c/ acetona;Avante;Removedor De Esmalte A Base Acetona Avante 100ml;100ml;4,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/removedor%20de%20esmalte;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Removedor de esmalte c/ acetona;Farmax;Removedor De Esmalte Farmax C Acetona 100ml;100ml;4,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/removedor%20de%20esmalte;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Removedor de esmalte c/ acetona;Farmax;Removedor De Esmalte A Base De Acetona Farmax 200ml;200ml;9,79;;Em estoque;;;;;;https://www.superso.com.br/p/busca/removedor%20de%20esmalte;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Removedor de esmalte c/ acetona;Farmax;Removedor De Esmalte A Base De Acetona Farmax 500ml;500ml;19,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/removedor%20de%20esmalte;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Removedor de esmalte c/ acetona;Ideal;Removedor De Esmalte A Base Acetona Ideal 200ml;200ml;10,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/removedor%20de%20esmalte;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Removedor de esmalte s/ acetona;Farmax;Removedor De Esmalte Farmax Argan S Acetona 100ml;100ml;5,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/removedor%20de%20esmalte;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Removedor de esmalte s/ acetona;Ideal;Removedor Esmalte Ideal 100ml S Acetona;100ml;7,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/removedor%20de%20esmalte;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Removedor de esmalte s/ acetona;Only;Removedor De Esmaltes Only 100ml;100ml;5,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/removedor%20de%20esmalte;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Oleo capilar/corporal 100ml;Farmax;Oleo Capilar E Corporal Argan Farmax 100ml;100ml;11,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/oleo%20corporal;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Oleo capilar/corporal 100ml;Farmax;Oleo Capilar E Corporal Farmax Coco 100ml;100ml;11,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/oleo%20corporal;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Glicerina bidestilada;Farmax;Glicerina Farmax 100ml Bio Destilada;100ml;9,95;;Em estoque;;;;;;https://www.superso.com.br/p/busca/glicerina;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Glicerina bidestilada;Farmax;Glicerina Farmax 100ml Pura;100ml;9,95;;Em estoque;;;;;;https://www.superso.com.br/p/busca/glicerina;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Sabonete intimo;Dermacyd;Sabonete Intimo Liquido Dermacyd Delicata Jasmim 200ml;200ml;27,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/sabonete%20intimo;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Sabonete intimo;Hidraderm;Sabonete Intimo Hidraderm 200ml Neutro;200ml;12,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/sabonete%20intimo;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Sabonete intimo;Protex;Sabonete Liquido Intimo Delicate Care Protex 200ml;200ml;23,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/sabonete%20intimo;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Sabonete intimo;Intimax;Sabonete Liquido Intimo Intimax Fresh;200ml;18,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/sabonete%20intimo;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Sabonete intimo;San Jully;Sabonete Intimo Erva Doce San Jully 200ml;200ml;11,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/sabonete%20intimo;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Repelir (repelente);Off;Repelente Locao Off! Family Squeeze 100ml;100ml;18,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/repelente;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Repelir (repelente);Off;Repelente Off! Active Frasco 170ml Spray;170ml;34,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/repelente;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Repelir (repelente);Repelex;Repelente Aerossol Suave Repelex Frasco 200ml;200ml;33,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/repelente;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Solucao de amonia;Avante;Solucao De Amonia Avante 100ml;100ml;3,49;;Em estoque;;;;;;https://www.superso.com.br/p/busca/avante;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Solucao de amonia;Farmax;Amonia Farmax 100ml;100ml;3,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/farmax;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Essencia de eucalipto;Avante;Essencia Avante 100ml Eucalipto;100ml;11,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/avante;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Pedra hume po;Farmax;Pedra Hume Farmax Em Po 20g;22g;5,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/pedra%20hume;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Talco desodorante p/ pes sem perfume;Barla;Talco Antisseptico Perfumado Barla 140g;100g;9,39;;Em estoque;;;;;;https://www.superso.com.br/p/busca/talco;Unidade;Claude Code
2026-07-02;Supermercado;Super So;Talco desodorante p/ pes sem perfume;Tabu;Talco Tabu Dana 100g;100g;12,99;;Em estoque;;;;;;https://www.superso.com.br/p/busca/talco;Unidade;Claude Code
